Fruity Pebbles,Fruity Sweetened Rice Cereal,20.5 oz,$4.58
Lay's,Wavy Original Potato Chips,10 oz,$1.88
Kellogg's,Pop-Tarts,20.3 oz,$3.59
Nature Valley Granola Bars,Crunchy Oats 'n Honey,7.88 oz,$4.99
Hershey's,Chocolate Syrup Special Dark,22.0 oz,$1.98
Twizzlers,Rainbow Licorice Candy,12.4 oz,$1.88
Kraft,Macaroni & Cheese Dinner Original,7.25 oz,$1.19
Jif,Creamy Peanut Butter,40.0 oz,$4.89
Nutella Ferrero,Chocolate Hazelnut Spread,26.5 oz,$6.69
Hellmann's,Mayonnaise Real,30.0 oz,$3.88
Heinz,Squeeze Tomato Ketchup,20.0 oz,$3.19
Chobani,Vanilla Blended Nonfat Greek Yogurt,32.0 oz,$4.99
Cheez-It,Original Baked Snack Crackers,12.4 oz,$3.29
Hershey's,Popped Snack Mix,8.0 oz,$3.99
Windex,Glass and Window Cleaner Spray Bottle,23.0 fl oz,$2.86
Arm & Hammer,Cat Litter Deodorizer,30.0 oz,$3.24
OxiClean,2in1 Fresh Scent Liquid Stain Fighter with Color Safe Brightener,45.0 oz,$6.19
