Fruity Pebbles,Fruity Sweetened Rice Cereal,20.5 oz,$4.29
Lay's,Wavy Original Potato Chips,10.0 oz,$2.39
Kellogg's,Pop-Tarts,20.3 oz,$3.39
Nature Valley Granola Bars,Crunchy Oats 'n Honey,7.88 oz,$4.15
Hershey's,Chocolate Syrup Special Dark,22.0 oz,$3.80
Twizzlers,Rainbow Licorice Candy,12.4 oz,$2.99
Kraft,Macaroni & Cheese Dinner Original,7.25 oz,$1.19
Jif,Creamy Peanut Butter,40.0 oz,$4.49
Nutella Ferrero,Chocolate Hazelnut Spread,26.5 oz,$6.69
Hellmann's,Mayonnaise Real,30.0 oz,$3.89
Crest Cavity & Tartar Protection Toothpaste,Whitening Baking Soda & Peroxide,5.7 oz,$3.49
Horizon Organic,Reduced Fat Milk,1.0 gal,$9.19
Flav R Pac Corn,Whole Kernel,12.0 oz,$2.29
Gain Liquid Laundry Detergent with Febreze Freshness,Moonlight Breeze,100.0 fl oz,$14.99
Prego Pasta Sauce,Italian Tomato Sauce with Fresh Mushrooms,45.0 oz,$5.79
General Mills Cinnamon Toast Crunch,Cereal with Whole Grain,12.0 oz,$4.59
Green Giant,Cauliflower & Spinach Cauliflower Gnocchi,10.0 oz,$5.19
Driscoll's,Strawberries,16.0 oz,$4.59
Haagen-dazs,Chocolate Dark Chocolate Ice Cream Bar,3.0 oz,$3.49
Imag!Ne,Parmesan Cheese Flavored Snacks,4.5 oz,$4.59
