Fruity Pebbles,Fruity Sweetened Rice Cereal,20.5 oz,$4.19
Lay's,Wavy Original Potato Chips,10.0 oz,$2.19
Kellogg's,Pop-Tarts,20.3 oz,$3.32
Nature Valley Granola Bars,Crunchy Oats 'n Honey,7.88 oz,$5.15
Hershey's,Chocolate Syrup Special Dark,22.0 oz,$3.29
Twizzlers,Rainbow Licorice Candy,12.4 oz,$2.59
Kraft,Macaroni & Cheese Dinner Original,7.25 oz,$0.99
Jif,Creamy Peanut Butter,40.0 oz,$5.49
Nutella Ferrero,Chocolate Hazelnut Spread,26.5 oz,$6.69
Hellmann's,Mayonnaise Real,30.0 oz,$3.89
Heinz,Squeeze Tomato Ketchup,20.0 oz,$2.39
Chobani,Vanilla Blended Nonfat Greek Yogurt,32.0 oz,$4.99
Cheez-It,Original Baked Snack Crackers,12.4 oz,$2.99
Hershey's,Popped Snack Mix,8.0 oz,$3.99
Barilla,Spaghetti Pasta,16.0 oz,$1.29
Bertolli,Tomato & Basil Pasta Sauce,24.0 oz,$1.99
Kraft,Jet-Puffed Marshmallows,10.0 oz,$1.49
Market Pantry,Taco Seasoning Mix,1.25 oz,$0.45
Bertolli,Tuscan Herb Alfredo with Chardonnay Pasta Sauce,15.0 oz,$2.19
Lipton,Black Tea,8.0 oz,$3.69
